case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,1,0.01,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,2,0.05,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,3,0.09,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,4,0.18,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,5,0.33,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,6,0.76,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,7,1.12,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,8,1.5,0.25,0.25,0.25,0.6,0.16,3.0
Boreal Crop Rotation AB/br,brtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Crop Rotation AB/br/brsoil,brsoil,9,2.0,0.25,0.25,0.25,0.6,0.16,3.0
