case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,1,0.01,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,2,0.05,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,3,0.12,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,4,0.29,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,5,0.48,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,6,0.8,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,7,1.15,1.0,0.25,0.25,0.6,0.16,3.0
Warm Temperate Loblolly Pine TN,dutopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Loblolly Pine TN/dusoil,dusoil,8,1.4,1.0,0.25,0.25,0.6,0.16,3.0
