case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,1,0.01,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,2,0.03,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,3,0.07,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,4,0.13,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,5,0.28,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,6,0.6,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,7,0.7,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,8,0.9,0.25,2.0,2.0,1.0,0.025,0.025
Cool Temperate Pasture Switzerland,topo_oen,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Pasture Switzerland/soil_oen,soil_oen,9,1.5,0.25,2.0,2.0,1.0,0.025,0.025
