case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,1,0.02,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,2,0.04,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,3,0.09,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,4,0.13,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,5,0.39,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,6,0.82,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,7,1.12,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,8,1.69,0.1,0.25,0.25,0.6,0.16,3.0
Boreal Jack Pine SK,ojtopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Boreal Jack Pine SK/ojsoil,ojsoil,9,2.5,0.1,0.25,0.25,0.6,0.16,3.0
